=== AUDITORIA ESTRUTURAL - GOVERNANCE MANIFEST COMPLIANCE ===
Data: 07/29/2025 10:09:40
Protocolo: TIER-0 STRUCTURAL AUDIT
Status: VERIFICAÇÃO ESTRUTURAL CONCLUÍDA

=== ESTRUTURA OFICIAL vs REAL ===

DIRETÓRIOS AUSENTES (1):
❌ risk - Módulo institucional de risco e proteção
DIRETÓRIOS VAZIOS (4):
⚠️ scripts - Scripts auxiliares, testes e execução offline
⚠️ config - Configurações iniciais e chaves globais
⚠️ docs - Documentação técnica, guias e manifestos
⚠️ agents - Agentes inteligentes operacionais
=== INCLUDES INCORRETOS (264) ===
❌ core_brain_manager.mqh -> types/trade_signal_enum.mqh
❌ core_brain_manager.mqh -> quantum/quantum_processor.mqh
❌ core_brain_manager.mqh -> analysis/dependency_graph.mqh
❌ core_brain_manager.mqh -> ChartObjects\ChartObjectsTxtControls.mqh
❌ core_brain_manager.mqh -> Arrays\ArrayObj.mqh
❌ quantum_blockchain.mqh -> security/sha3_library.mqh
❌ force_maxima.mqh -> quantum/quantum_processor.mqh
❌ force_maxima.mqh -> analysis/audit_validator.mq5
❌ force_maxima.mqh -> types/trade_signal_enum.mqh
❌ force_maxima.mqh -> execution/trade_executor.mqh
❌ force_maxima.mqh -> CORE/core_brain_manager.mqh
❌ force_maxima.mqh -> ChartObjects\ChartObjectsTxtControls.mqh
❌ logger_institutional.mqh -> analysis/market_regime_detector.mqh
❌ logger_institutional.mqh -> intelligence/anomaly_detector_ai.mqh
❌ logger_institutional.mqh -> visuals/log_panel.mqh
❌ logger_institutional.mqh -> Files\FileTxt.mqh
❌ logger_institutional.mqh -> StdLib.mqh
❌ anti_reincidence_system.mqh -> analysis/dependency_graph.mqh
❌ timestamp_formatter.mqh -> intelligence/quantum_learning.mqh
❌ timestamp_formatter.mqh -> analysis/dependency_graph.mqh
❌ timestamp_formatter.mqh -> Arrays\ArrayObj.mqh
❌ log_panel.mqh -> intelligence/quantum_learning.mqh
❌ log_panel.mqh -> Canvas/Canvas.mqh
❌ log_panel.mqh -> Arrays\ArrayObj.mqh
❌ NumeiaEA.mq5 -> quantum/quantum_finance_framework.mqh
❌ NumeiaEA.mq5 -> executionlogic/trade_executor.mqh
❌ NumeiaEA.mq5 -> types/trade_signal_enum.mqh
❌ NumeiaEA.mq5 -> analysis/neural_dependency_graph.mqh
❌ NumeiaEA.mq5 -> quantum/quantum_neural_bridge.mqh
❌ NumeiaEA.mq5 -> visuals/quantum_decision_panel.mq5
❌ NumeiaEA.mq5 -> audit/AuditIntegrityPanel.mq5
❌ NumeiaEA.mq5 -> audit/CoreIntegrityPanel.mq5
❌ NumeiaEA.mq5 -> analysis/dependency_graph.mqh
❌ NumeiaEA.mq5 -> security/quantumfirewall.mqh
❌ NumeiaEA.mq5 -> intelligence/quantum_learning.mqh
❌ NumeiaEA.mq5 -> security/crisis_protocol.mqh
❌ NumeiaEA.mq5 -> security/security_integrity_validator.mqh
❌ NumeiaEA.mq5 -> optimization/GeneticOptimizer.mqh
❌ NumeiaEA.mq5 -> neural/NeuroNet.mqh
❌ audit_validator.mq5 -> analysis/dependency_graph.mqh
❌ audit_validator.mq5 -> intelligence/quantum_learning.mqh
❌ audit_validator.mq5 -> executionlogic/trade_executor.mqh
❌ audit_validator.mq5 -> decisionengine/quantum_processor.mqh
❌ audit_validator.mq5 -> visuals/decision_panel.mq5
❌ audit_validator.mq5 -> neural/NeuroNet.mqh
❌ audit_validator.mq5 -> optimization/GeneticOptimizer.mqh
❌ Agent_Omega.mqh -> security/QuantumBlockchain.mqh
❌ Agent_Omega.mqh -> analysis/dependency_graph.mqh
❌ Agent_Omega_v2.1.mqh -> security/QuantumBlockchain.mqh
❌ Agent_Omega_v2.1.mqh -> analysis/dependency_graph.mqh
❌ Agent_Omega_v2.1.mqh -> " + target_include + "
❌ Agent_Omega_v2.1.mqh -> " + corrected_path + "
❌ Agent_Omega_v3.0.mqh -> security/QuantumBlockchain.mqh
❌ Agent_Omega_v3.0.mqh -> analysis/dependency_graph.mqh
❌ Agent_Omega_v3.0.mqh -> " + target_include + "
❌ Agent_Omega_v3.0.mqh -> " + corrected_path + "
❌ safe_mode_manager.mqh -> Trade\Trade.mqh
❌ safe_mode_manager.mqh -> analysis/market_regime_detector.mqh
❌ safe_mode_manager.mqh -> visuals/decision_panel.mq5
❌ trade_executor.mqh -> Trade\Trade.mqh
❌ trade_executor.mqh -> types/trade_signal_enum.mqh
❌ trade_executor.mqh -> analysis/market_regime_detector.mqh
❌ trade_executor.mqh -> intelligence/anomaly_detector_ai.mqh
❌ decision_router.mqh -> types/trade_signal_enum.mqh
❌ decision_router.mqh -> intelligence/thaler_bias_engine.mqh
❌ decision_router.mqh -> analysis/correlation_matrix.mqh
❌ decision_router.mqh -> analysis/market_regime_detector.mqh
❌ multi_timeframe_validator.mqh -> types/trade_signal_enum.mqh
❌ multi_timeframe_validator.mqh -> analysis/correlation_matrix.mqh
❌ multi_timeframe_validator.mqh -> analysis/market_regime_detector.mqh
❌ market_regime_detector.mqh -> Math\Alglib\dataanalysis.mqh
❌ market_regime_detector.mqh -> Trade\AccountInfo.mqh
❌ market_regime_detector.mqh -> GeneticOptimizer.mqh
❌ market_regime_detector.mqh -> analysis/correlation_matrix.mqh
❌ market_regime_detector.mqh -> intelligence/thaler_bias_engine.mqh
❌ correlation_matrix.mqh -> analysis/market_regime_detector.mqh
❌ correlation_matrix.mqh -> ChartObjects/ChartObjectsTxtControls.mqh
❌ quantum_order_book.mqh -> quantum/quantum_entanglement_simulator.mqh
❌ quantum_order_book.mqh -> quantum/quantum_pattern_scanner.mqh
❌ quantum_darkpool.mqh -> quantum/quantum_entanglement_simulator.mqh
❌ quantum_darkpool.mqh -> quantum/quantum_liquidity_matrix.mqh
❌ quantum_hft_detector.mqh -> quantum/quantum_entanglement_simulator.mqh
❌ quantum_hft_detector.mqh -> quantum/quantum_pattern_scanner.mqh
❌ quantum_liquidity_matrix.mqh -> quantum/quantum_entanglement.mqh
❌ quantum_liquidity_matrix.mqh -> darkpool/dark_pool_connector.mqh
❌ quantum_liquidity_matrix.mqh -> neural/quantum_neural_net.mqh
❌ quantum_liquidity_matrix.mqh -> types/trade_signal_enum.mqh
❌ quantum_liquidity_matrix.mqh -> quantum/quantum_orderbook.mqh
❌ quantum_liquidity_matrix.mqh -> ChartObjects\ChartObjectsTxtControls.mqh
❌ dependency_graph.mqh -> security/quantumfirewall.mqh
❌ dependency_graph.mqh -> types/trade_signal_enum.mqh
❌ dependency_graph.mqh -> intelligence/quantum_learning.mqh
❌ dependency_graph.mqh -> Arrays\ArrayObj.mqh
❌ neural_dependency_graph.mqh -> analysis/dependency_graph.mqh
❌ neural_dependency_graph.mqh -> NeuroNet.mqh
❌ thaler_bias_engine.mqh -> analysis/market_regime_detector.mqh
❌ thaler_bias_engine.mqh -> types/trade_signal_enum.mqh
❌ thaler_bias_engine.mqh -> intelligence/thaler_bias_engine.mqh
❌ thaler_bias_engine.mqh -> visuals/quantum_decision_panel.mq5
❌ thaler_bias_engine.mqh -> Math\Alglib\mcpd.mqh
❌ thaler_bias_engine.mqh -> NeuroNet.mqh
❌ thaler_bias_engine.mqh -> DarkPoolScanner.mqh
❌ neural_signal_processor.mqh -> Utils/logger_institutional.mqh
❌ neural_signal_processor.mqh -> Types/trade_signal_enum.mqh
❌ neural_signal_processor.mqh -> Data/market_data_connector.mqh
❌ neural_signal_processor.mqh -> Intelligence/anomaly_detector_ai.mqh
❌ neural_signal_processor.mqh -> Risk/risk_profile.mqh
❌ anomaly_detector_ai.mqh -> Utils/logger_institutional.mqh
❌ anomaly_detector_ai.mqh -> Types/trade_signal_enum.mqh
❌ anomaly_detector_ai.mqh -> Data/market_data_connector.mqh
❌ anomaly_detector_ai.mqh -> Quantum/quantum_entropy_calculator.mqh
❌ ml_duplicate_detector.mqh -> audit/audit_nomenclature_validator.mqh
❌ quantum_learning.mqh -> quantum/quantum_processor.mqh
