symbol,profit_factor,win_rate,expectancy,max_drawdown,total_trades,winning_trades,losing_trades,total_profit,total_loss,market_open,decision
XAGBRL,999.99,100.0,0.002,0.0,3,3,0,0.01,0.0,False,REJECT
XAGCOP,999.99,100.0,0.002,0.0,2,2,0,0.0,0.0,False,REJECT
ETHUSD,999.99,100.0,0.002,0.0,23,23,0,0.05,0.0,True,REJECT
BTCCOP,999.99,100.0,0.02,0.0,3,3,0,0.06,0.0,False,REJECT
US100,999.99,100.0,0.02,0.0,3,3,0,0.06,0.0,False,REJECT
USFang,999.99,100.0,0.02,0.0,9,9,0,0.18,0.0,False,REJECT
BTCUSD,26.0,92.86,0.0179,0.01,14,13,1,0.26,0.01,True,REJECT
XAGMXN,24.31,92.4,0.0018,0.002,171,158,13,0.32,0.01,False,APPROVE
US30,11.71,85.42,0.0156,0.02,48,41,7,0.82,0.07,False,APPROVE
XRPUSD,7.29,78.46,0.0,0.0,65,51,14,0.0,0.0,True,APPROVE
US500,4.75,70.37,0.0111,0.03,27,19,8,0.38,0.08,False,REJECT
XAUXAG,4.0,66.67,0.01,0.06,18,12,6,0.24,0.06,False,REJECT
LTCUSD,3.67,64.71,0.0009,0.003,51,33,18,0.07,0.02,True,APPROVE
US.OilFund,3.14,61.11,0.0083,0.03,18,11,7,0.22,0.07,False,REJECT
AUDUSD,2.88,58.97,0.0,0.0001,39,23,16,0.0,0.0,False,APPROVE
BCHUSD,1.76,46.76,0.004,0.09,139,65,74,1.3,0.74,True,REJECT
USDJPY,1.71,46.05,0.0004,0.009,152,70,82,0.14,0.08,False,REJECT
XAGGBP,1.54,43.48,0.0003,0.019,161,70,91,0.14,0.09,False,REJECT
XAGAUD,1.38,40.88,0.0002,0.01,159,65,94,0.13,0.09,False,REJECT
XAGEUR,1.3,39.38,0.0002,0.012,160,63,97,0.13,0.1,False,REJECT
XAGSGD,1.22,37.95,0.0001,0.01,166,63,103,0.13,0.1,False,REJECT
LNKUSD,1.21,37.78,0.0001,0.008,45,17,28,0.03,0.03,True,REJECT
ADAUSD,0.94,32.0,-0.0,0.0026,50,16,34,0.0,0.0,True,REJECT
DOTUSD,0.92,31.48,-0.0001,0.021,54,17,37,0.03,0.04,True,REJECT
XLMUSD,0.88,30.61,-0.0,0.0002,49,15,34,0.0,0.0,True,REJECT
EURGBP,0.85,29.86,-0.0,0.0006,144,43,101,0.0,0.0,False,REJECT
XAGUSD,0.81,28.89,-0.0001,0.022,135,39,96,0.08,0.1,False,REJECT
AUDNZD,0.78,28.12,-0.0,0.0005,128,36,92,0.0,0.0,False,REJECT
AUDCAD,0.75,27.27,-0.0,0.0001,22,6,16,0.0,0.0,False,REJECT
NZDUSD,0.57,22.22,-0.0,0.0002,45,10,35,0.0,0.0,False,REJECT
USIndex,0.47,19.05,-0.0004,0.021,42,8,34,0.02,0.03,False,REJECT
GBPUSD,0.39,16.39,-0.0,0.0003,61,10,51,0.0,0.0,False,REJECT
DOGUSD,0.37,15.62,-0.0,0.0002,32,5,27,0.0,0.0,True,REJECT
USDCAD,0.32,13.95,-0.0,0.0006,86,12,74,0.0,0.0,False,REJECT
US2000,0.17,7.69,-0.0077,0.1,13,1,12,0.02,0.12,False,REJECT
USDCHF,0.1,4.55,-0.0,0.0004,44,2,42,0.0,0.0,False,REJECT
AUDCHF,0.0,0.0,-0.0,0.0002,16,0,16,0.0,0.0,False,REJECT
